area,year,barley,beef_and_buffalo_meat_primary,cereals_primary,eggs_primary,fruit_primary,meat_poultry,milk_total,potatoes,sheep_and_goat_meat,vegetables_primary,wheat,temp_change,people_employed_000,pesticide_used_tonnes,total_precipitation,total_population,agriculture_value,country_code
Austria,2000-01-01,3819.5,3031.0,5403.9,165011.0,16294.6,17063.0,47916.0,29262.7,204.0,38431.1,4468.8,1.774,766.87,3563.2,1271.3025,8010.428,2443.834497,AUT
Austria,2001-01-01,4655.3,2993.0,5856.2,164992.0,15484.6,17531.0,49589.0,30039.4,212.0,40500.1,5241.2,1.508,718.74,3132.2,1231.8984,8039.626,2527.762615,AUT
Austria,2002-01-01,4286.6,2995.0,5831.0,164986.0,16201.2,17664.0,50362.0,30383.2,213.0,41954.2,4966.7,1.542,703.31,3079.2,1339.831,8078.992,2489.281305,AUT
Austria,2003-01-01,4155.9,3033.0,5255.4,165013.0,16950.5,17718.0,51759.0,26528.7,211.0,37718.6,4380.1,1.474,734.47,3384.9,964.65704,8120.104,2926.230271,AUT
Austria,2004-01-01,5261.7,3058.0,6495.5,165005.0,17905.3,18297.0,54121.0,31611.7,208.0,40853.2,5923.4,0.84,716.11,3301.7,1228.8599,8171.217,3375.140464,AUT
Austria,2005-01-01,4587.6,3125.0,6133.1,163800.0,15719.8,18155.0,53694.0,34398.5,210.0,40040.2,5028.6,0.638,732.78,3404.0,1282.2631,8227.034,2880.975476,AUT
Austria,2006-01-01,4427.6,3171.0,5721.8,163208.0,16928.4,18204.0,55212.0,29864.1,222.0,38332.9,4906.6,0.919,735.18,3415.7,1150.1456,8267.763,3099.126148,AUT
Austria,2007-01-01,4194.8,3225.0,5844.1,163196.0,18025.4,17626.0,55420.0,29493.1,218.0,36401.9,4776.3,2.151,791.9,3526.6,1279.4971,8294.722,3948.757079,AUT
Austria,2008-01-01,5207.9,3245.0,6807.3,162589.0,18767.5,17593.0,56040.0,33199.3,215.0,36165.0,5693.5,1.597,787.97,4246.7,1244.941,8321.131,4224.881855,AUT
Austria,2009-01-01,4600.5,3234.0,6149.5,165308.0,17922.3,16895.0,55802.0,32494.7,214.0,38843.0,4929.5,1.554,775.35,3531.8,1363.3025,8342.935,3265.641015,AUT
Austria,2010-01-01,4606.3,3227.0,5903.1,165323.0,10959.3,16719.0,56004.0,30570.3,217.0,39104.8,5011.7,0.668,765.78,3692.4,1306.4232,8362.829,3517.6846,AUT
Austria,2011-01-01,5606.4,3227.0,7056.7,165316.0,14995.3,16638.0,56833.0,35712.7,215.0,43635.1,5854.9,1.384,621.63,3441.5,1024.2241,8391.2,4306.106037,AUT
Austria,2012-01-01,4399.5,3268.0,6002.9,166668.0,12176.1,16748.0,58501.0,30549.1,212.0,41137.7,4138.8,1.792,623.73,3563.3,1292.8046,8429.637,3915.835868,AUT
Austria,2013-01-01,5148.6,3306.0,5846.8,166654.0,12194.4,16485.0,58756.0,28589.7,233.0,38134.1,5374.3,1.105,594.53,3097.44,1323.1521,8479.539,3721.338155,AUT
Austria,2014-01-01,5799.4,3302.0,7046.7,169137.0,12310.1,16303.0,59637.0,35102.0,231.0,43350.0,5921.7,2.421,603.5,3373.22,1373.5446,8546.066,3658.693836,AUT
